"HH_id","SKU.","SKU#","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","V16"
9271,135,42,0,0,4.362,0,0,0,"DWN","B","LT","LR","0","0",-0.0772799363578469
9271,136,44,0,0,2.743,0,0,0,"DWN","F","RG","SM","0","0",0.216192881733701
9271,137,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","7","0",-0.00784919421255354
9271,138,46,0,0,2.743,0,0,0,"DWN","F","LT","SM","0","0",0.152050335820695
9271,139,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0",0.023230681596665
9271,140,51,0,0,2.848,0,0,0,"DWN","S","RG","MD","0","0",-0.0425396355899018
9271,141,53,0,0,2.848,0,0,0,"DWN","S","LT","MD","0","0",-0.0620104007661881
9271,142,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0",0.0120041813453163
9271,143,62,0,0,2.509,0,0,0,"FNT","B","RG","MD","0","0",0.174494759249126
9271,144,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0",-0.028939777260446
9271,145,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0",0.131027281220713
9271,146,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0",0.0785679505191259
9271,147,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0",0.0462378681560503
9271,148,78,0,0,3.169,0,0,0,"PRL","B","RG","XL","0","0",-0.00623483719750386
9271,149,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0",0.0247857544208333
9271,150,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0",0.0234640234051198
9271,151,88,0,1,1.19,0,0,0,"PRL","L","RG","XL","0","0",0.0389908040375984
9271,152,91,0,0,4.184,0,0,0,"PRL","L","RG","XL","0","0",0.0190295316429016
9271,153,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0",0.0243041702125431
9271,154,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0",-0.0103475588371218
9271,155,97,0,0,1.177,0,0,0,"PRL","S","RG","MD","0","1",-0.0345870995240866
9271,156,99,1,0,2.072,1.99,1.99,0,"PRL","S","RG","LR","0","0",1.37380544747892
9271,157,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","1",-0.127096241828171
9271,158,104,0,0,3.99,0,0,0,"SNG","B","RG","XL","7","0",-0.0360380224226618
9271,159,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0",-0.00195068839984823
9271,160,107,0,0,3.38,0,0,0,"SNG","B","RG","MD","2","0",0.143574940707401
9271,161,108,0,0,4.078,0,0,0,"SNG","B","RG","LR","0","0",-0.10625120478364
9271,162,111,0,1,3.38,0,0,0,"SNG","B","LT","MD","2","0",0.0983713842479856
9271,163,112,0,0,4.078,0,0,0,"SNG","B","LT","LR","0","0",-0.0747460288409522
9271,164,114,0,0,1.273,0,0,0,"SNG","S","RG","SM","0","0",0.110321453588127
9271,165,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","0",0.10464067363993
9271,166,116,0,0,3.29,0,0,0,"SNG","S","RG","LR","0","0",-0.017863834115549
9271,167,118,0,2,2.74,0,0,0,"SNG","S","LT","MD","2","0",0.143952369786608
9271,168,124,0,0,2.258,0,0,0,"STP","B","RG","MD","0","0",0.106215660473387
9271,169,125,0,0,3.346,0,0,0,"STP","B","RG","LR","0","0",0.00925188121513429
9271,170,130,0,0,1.826,0,0,0,"TSN","S","RG","MD","0","0",0.108313281460818
9271,171,131,0,0,2.59,0,0,0,"TSN","S","RG","LR","0","0",-0.000946480016010522
9273,173,17,0,0,2.041,0,0,0,"ARM","S","RG","MD","0","0",0.0402962943992753
9273,174,19,0,0,3.102,0,0,0,"ARM","S","RG","LR","0","0",-0.00239289239787754
9273,175,20,0,0,6.178,0,0,0,"BNC","S","RG","XL","0","0",-0.0580140502281756
9273,176,23,0,0,2.821,0,0,0,"BNC","S","RG","MD","0","2",-0.0411168524647856
9273,177,25,0,0,1.69,0,0,0,"BNC","S","ST","SM","0","0",0.026933187762659
9273,178,26,0,0,2.818,0,0,0,"BNC","S","ST","MD","0","2",-0.00425393855008418
9273,179,27,0,0,3.876,0,0,0,"BNC","S","ST","LR","0","0",-0.0406910408631313
9273,180,29,0,0,2.821,0,0,0,"BNC","S","UN","MD","0","2",0.0103616260561641
9273,181,30,3,0,0.99,0.99,0.99,0,"CLF","S","RG","SM","0","0",0.797829204570951
9273,182,31,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
9273,183,32,0,0,1.79,0,0,0,"CLF","S","RG","MD","0","0",0.0258645678542832
9273,184,34,0,0,5.218,0,0,0,"DWN","B","RG","XL","0","0",-0.0655075519953239
9273,185,35,0,0,1.29,0,0,0,"DWN","B","RG","SM","0","0",0.0217322252147141
9273,186,36,0,0,1.79,0,0,0,"DWN","B","RG","SM","0","0",0.00244791620936697
9273,187,37,0,0,3.19,0,0,0,"DWN","B","RG","MD","0","0",-0.00499551271736577
9273,188,38,0,0,4.39,0,0,0,"DWN","B","RG","LR","0","0",-0.091799613507983
9273,189,39,0,0,5.166,0,0,0,"DWN","B","LT","XL","7","0",-0.0517844810995391
9273,190,40,0,0,1.767,0,0,0,"DWN","B","LT","SM","0","0",-0.00234641275774025
9273,191,41,0,0,3.19,0,0,0,"DWN","B","LT","MD","0","0",-0.0545342757239819
9273,192,42,0,0,4.362,0,0,0,"DWN","B","LT","LR","0","0",-0.0772802873755245
9273,193,44,0,0,2.743,0,0,0,"DWN","F","RG","SM","0","0",0.216192530716023
9273,194,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","7","0",-0.0078495452302312
9273,195,46,0,0,2.743,0,0,0,"DWN","F","LT","SM","0","0",0.152049984803017
9273,196,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0",0.0232303305789874
9273,197,51,0,0,2.848,0,0,0,"DWN","S","RG","MD","0","0",-0.0425399866075795
9273,198,53,0,0,2.848,0,0,0,"DWN","S","LT","MD","0","0",-0.0620107517838658
9273,199,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0",0.0120038303276387
9273,200,62,0,0,2.509,0,0,0,"FNT","B","RG","MD","0","0",0.174494408231449
9273,201,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0",-0.0289401282781237
9273,202,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0",0.131026930203036
9273,203,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0",0.0785675995014482
9273,204,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0",0.0462375171383726
9273,205,78,0,0,3.169,0,0,0,"PRL","B","RG","XL","0","0",-0.00623518821518152
9273,206,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0",0.0247854034031556
9273,207,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0",0.0234636723874421
