"HH_id","SKU.","SKU#","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature"
9275,296,16,0,0,1.19,0,0,0,"ARM","S","RG","SM","0","0"
9275,297,17,0,0,2.041,0,0,0,"ARM","S","RG","MD","0","0"
9275,298,19,0,0,3.102,0,0,0,"ARM","S","RG","LR","0","0"
9275,299,20,0,0,6.178,0,0,0,"BNC","S","RG","XL","0","0"
9275,300,23,0,0,2.821,0,0,0,"BNC","S","RG","MD","0","4"
9275,301,25,0,0,1.69,0,0,0,"BNC","S","ST","SM","0","0"
9275,302,26,0,0,2.818,0,0,0,"BNC","S","ST","MD","0","4"
9275,303,27,0,0,3.876,0,0,0,"BNC","S","ST","LR","0","0"
9275,304,29,0,0,2.821,0,0,0,"BNC","S","UN","MD","0","4"
9275,305,30,0,0,0.99,0,0,0,"CLF","S","RG","SM","0","0"
9275,306,31,0,0,1.29,0,0,0,"CLF","S","RG","SM","0","0"
9275,307,32,0,0,1.79,0,0,0,"CLF","S","RG","MD","0","0"
9275,308,34,0,0,5.218,0,0,0,"DWN","B","RG","XL","0","0"
9275,309,35,0,0,1.29,0,0,0,"DWN","B","RG","SM","0","0"
9275,310,36,0,0,1.79,0,0,0,"DWN","B","RG","SM","0","0"
9275,311,37,0,1,3.19,0,0,0,"DWN","B","RG","MD","0","0"
9275,312,38,0,0,4.39,0,0,0,"DWN","B","RG","LR","0","0"
9275,313,39,0,0,5.166,0,0,0,"DWN","B","LT","XL","0","4"
9275,314,40,0,0,1.767,0,0,0,"DWN","B","LT","SM","0","0"
9275,315,41,0,1,3.19,0,0,0,"DWN","B","LT","MD","0","0"
9275,316,42,0,0,4.362,0,0,0,"DWN","B","LT","LR","0","0"
9275,317,44,0,1,2.743,0,0,0,"DWN","F","RG","SM","0","0"
9275,318,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","4","0"
9275,319,46,1,0,2.743,1.5,2.69,1.19,"DWN","F","LT","SM","0","0"
9275,320,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0"
9275,321,51,0,0,2.848,0,0,0,"DWN","S","RG","MD","0","0"
9275,322,53,0,0,2.848,0,0,0,"DWN","S","LT","MD","0","0"
9275,323,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0"
9275,324,62,0,3,2.509,0,0,0,"FNT","B","RG","MD","0","0"
9275,325,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0"
