"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
646,108,19,6,4.078,2.99,3.99,1,"SNG","B","RG","LR",0,0,1,"winter",5.419467201673
646,111,1,0,3.38,3.39,3.39,0,"SNG","B","LT","MD",2,0,1,"winter",1.28465185634903
646,112,13,3,4.078,2.99,3.99,1,"SNG","B","LT","LR",0,0,1,"winter",3.99622295969428
646,114,31,8,1.273,0.99,1.29,0.3,"SNG","S","RG","SM",0,0,1,"winter",2.99936414064413
646,115,4,1,2.875,2.69,2.69,0,"SNG","S","RG","MD",2,0,1,"winter",1.5648319860475
646,116,1,2,3.29,3.29,3.29,0,"SNG","S","RG","LR",0,0,1,"winter",1.26219908744274
646,118,0,0,2.74,0,0,0,"SNG","S","LT","MD",0,0,1,"winter",0.503606961536112
646,124,0,1,2.258,0,0,0,"STP","B","RG","MD",0,0,1,"winter",0.284462704726535
646,125,0,1,3.346,0,0,0,"STP","B","RG","LR",0,0,1,"winter",0.0323598359474422
646,126,0,0,1.967,0,0,0,"STP","F","RG","SM",0,0,1,"winter",0.390258710410056
646,130,3,1,1.826,1.79,1.79,0,"TSN","S","RG","MD",0,0,1,"winter",1.70338809416589
646,131,1,3,2.59,2.59,2.59,0,"TSN","S","RG","LR",0,0,1,"winter",1.51857138724578
647,16,0,0,1.19,0,0,0,"ARM","S","RG","SM",0,0,1,"winter",0.36948932593812
647,17,2,0,2.041,1.99,1.99,0,"ARM","S","RG","MD",0,0,1,"winter",1.39829562730587
647,19,1,0,3.102,2.99,2.99,0,"ARM","S","RG","LR",0,0,1,"winter",1.18513834641644
647,20,0,0,6.178,0,0,0,"BNC","S","RG","XL",0,0,1,"winter",0.553474400674149
647,23,2,1,2.821,2.69,2.69,0,"BNC","S","RG","MD",0,4,1,"winter",1.33290759545943
647,25,2,0,1.69,1.69,1.69,0,"BNC","S","ST","SM",0,0,1,"winter",1.40895480398262
647,26,2,0,2.818,2.69,2.69,0,"BNC","S","ST","MD",0,0,1,"winter",1.24290649127682
647,27,2,0,3.876,3.29,3.59,0.3,"BNC","S","ST","LR",0,4,1,"winter",1.34057193775097
647,29,0,0,2.821,0,0,0,"BNC","S","UN","MD",4,0,1,"winter",0.137787968681374
647,30,1,2,0.99,0.99,0.99,0,"CLF","S","RG","SM",0,0,1,"winter",1.59335216937685
647,31,0,0,1.29,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.346354292399278
647,32,0,3,1.79,0,0,0,"CLF","S","RG","MD",0,0,1,"winter",0.250966883855021
647,34,0,0,5.218,0,0,0,"DWN","B","RG","XL",0,0,1,"winter",0.382327594669222
647,35,1,1,1.29,1.29,1.29,0,"DWN","B","RG","SM",0,0,1,"winter",1.27263151026328
647,36,0,0,1.79,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",-0.0244977008922027
647,37,1,2,3.19,3.19,3.19,0,"DWN","B","RG","MD",4,0,1,"winter",1.74533445575397
647,38,0,0,4.39,0,0,0,"DWN","B","RG","LR",0,0,1,"winter",0.0526385718366558
647,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,0,1,"winter",0.435277244974359
647,40,0,0,1.767,0,0,0,"DWN","B","LT","SM",0,0,1,"winter",-0.016443502427387
647,41,1,1,3.19,3.19,3.19,0,"DWN","B","LT","MD",0,0,1,"winter",1.37076764455872
647,42,0,0,4.362,0,0,0,"DWN","B","LT","LR",4,0,1,"winter",0.0385959986570485
647,44,6,4,2.743,2.79,2.79,0,"DWN","F","RG","SM",0,2,1,"winter",3.24302981220923
647,45,1,0,4.905,4.99,4.99,0,"DWN","F","RG","MD",7,0,1,"winter",1.7108643699299
647,46,2,2,2.743,2.79,2.79,0,"DWN","F","LT","SM",0,0,1,"winter",2.5014609243099
647,50,0,2,1.89,0,0,0,"DWN","S","RG","SM",0,0,1,"winter",0.238984832980862
647,51,0,1,2.848,0,0,0,"DWN","S","RG","MD",2,0,1,"winter",0.0982604053288627
647,53,1,0,2.848,2.59,2.59,0,"DWN","S","LT","MD",0,0,1,"winter",1.35230960570613
647,61,1,0,1.378,1.39,1.39,0,"FNT","B","RG","SM",0,0,1,"winter",1.31868992157567
647,62,15,24,2.509,1.89,2.39,0.5,"FNT","B","RG","MD",0,0,1,"winter",5.31511695102461
